geo_code,geo,time,poblacion
SI,Slovenia,2017,2065895
SK,Slovakia,2017,5435343
TR,Türkiye,2017,79814871
UK,United Kingdom,2017,65844142
AL,Albania,2016,2875592
AT,Austria,2016,8700471
BE,Belgium,2016,11311117
BG,Bulgaria,2016,7153784
CH,Switzerland,2016,8327126
CY,Cyprus,2016,848319
CZ,Czechia,2016,10553843
DE,Germany (until 1990 former territory of the FRG),2016,82175684
DK,Denmark,2016,5707251
EE,Estonia,2016,1315944
EL,Greece,2016,10783748
ES,Spain,2016,46440099
FI,Finland,2016,5487308
FR,France,2016,66638391
HR,Croatia,2016,4190669
HU,Hungary,2016,9830485
IE,Ireland,2016,4726286
IS,Iceland,2016,332529
IT,Italy,2016,60665551
LI,LI Liechtenstein,2016,37622
LT,Lithuania,2016,2888558
LU,LU Luxembourg,2016,576249
LV,Latvia,2016,1968957
ME,Montenegro,2016,622218
MK,North Macedonia,2016,2071278
MT,MT Malta,2016,450415
NL,Netherlands,2016,16979120
NO,Norway,2016,5210721
PL,Poland,2016,37967209
PT,Portugal,2016,10341330
RO,Romania,2016,19760585
RS,Serbia,2016,7076372
SE,Sweden,2016,9851017
SI,Slovenia,2016,2064188
SK,Slovakia,2016,5426252
TR,Türkiye,2016,78741053
UK,United Kingdom,2016,65379044
AL,Albania,2015,2885796
AT,Austria,2015,8584926
BE,Belgium,2015,11237274
BG,Bulgaria,2015,7202198
CH,Switzerland,2015,8237666
CY,Cyprus,2015,847008
CZ,Czechia,2015,10538275
DE,Germany (until 1990 former territory of the FRG),2015,81197537
DK,Denmark,2015,5659715
EE,Estonia,2015,1314870
EL,Greece,2015,10858018
ES,Spain,2015,46449565
FI,Finland,2015,5471753
FR,France,2015,66458153
HR,Croatia,2015,4225316
HU,Hungary,2015,9855571
IE,Ireland,2015,4677627
IS,Iceland,2015,329100
IT,Italy,2015,60795612
LI,LI Liechtenstein,2015,37366
LT,Lithuania,2015,2921262
LU,LU Luxembourg,2015,562958
LV,Latvia,2015,1986096
ME,Montenegro,2015,622099
MK,North Macedonia,2015,2069172
MT,MT Malta,2015,439691
NL,Netherlands,2015,16900726
NO,Norway,2015,5166493
PL,Poland,2015,38005614
PT,Portugal,2015,10374822
RO,Romania,2015,19870647
RS,Serbia,2015,7114393
SE,Sweden,2015,9747355
SI,Slovenia,2015,2062874
